Url,Elapsed time (ms),Method
Opening period dependent data grids (filters are empty),,
Account Management → Compliance Check,2306.17,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List,455.63,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,137.03,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetTrafficLightList?text=,105.67,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetHitTypeList?text=,112.2,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,936.45,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,309.38,POST
Account Management → Billing Events,1747.92,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List,515.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,181.93,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,481.17,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,452.79,POST
Account Management → Charged Fees,2006.14,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List,402.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=1,688.6,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,938.28,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Fee/GetFees,955.13,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RecurringFee/GetNameList,862.66,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,800.29,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,531.59,POST
Account Management → Charged Initiator Fees,2217.74,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List,347.75,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,176.22,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,1138.54,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,480.34,POST
Account Management → Account Adjustments,1818.25,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List,874.16,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,182.49,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,127.27,POST
Transaction Management → Transactions,2564.41,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List,451.69,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,147.04,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=32,136.47,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,120.47,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,1017.33,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,830.44,POST
Transaction Management → External Transactions,1867.31,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List,374.43,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=8,141.63,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,124.83,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,635.13,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,612.71,POST
Transaction Management → Internal Transactions,2400.23,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List,319.11,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=16,163.16,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RiskType/GetRiskTypeList?text=,115.45,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List_Read,315.65,POST
