Url,Elapsed time (ms),Method
Opening period independent data grids,,
Home → System Health Monitor,19537.14,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/SystemHealthMonitor,405.3,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/EndOfDayJobActivityLog/List_Read,181.16,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,152.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/WeeklyApiCallsDistributionWidgetData,18703.64,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ApiActivityWidgetData,123.49,POST
Home → Expiration Monitor,2352.55,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ExpirationMonitor,321.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,126.15,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ExpirationMonitorList_Read,700.99,POST
Membership Management → Programs,1952.33,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List,375.7,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,187.12,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,119.56,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List_Read,873.18,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List_Read,137.23,POST
Membership Management → Programs → New Program,1035.60,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/Create,496.1,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetMemberList?text=,189.25,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetProductList?text=,114.68,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Country/GetList?onlyActive=True,117.41,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Catalog/CultureListDataSourceResult,107.75,POST
Membership Management → Program Data,1024.31,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/Edit/4,444.5,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountType/GetNonProductAccountTypes?programId=4&forAccount=True&accountCategory=Program&onlyEwalletAccountCategory=False&text=,130.63,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Country/GetList?onlyActive=True,126.82,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Catalog/CultureListDataSourceResult,110.53,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetPortals?text=,122.42,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/GetAccountsByAccountOwnerId?accountOwnerId=4&text=,127.41,GET
Membership Management → Program Data  Accounts → (link),1452.86,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/List?ownerId=4,421.73,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/GetStatusList?text=,173.7,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,126.19,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,119.82,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,147.73,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetPrograms?text=&MemberId=&WalletProductId=,130.6,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/List_Read?AccountOwnerId=4,180.91,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/List_Read?AccountOwnerId=4,115.96,POST
Membership Management → Program → Countries,855.21,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/List/4,363.61,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/Countries_Read?ProgramId=4,123,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/Countries_Read?ProgramId=4,113.51,POST
Membership Management → Program → Countries → select any country and click its name link,1048.90,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/List/4,451.91,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/Countries_Read?ProgramId=4,150.67,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCountry/Countries_Read?ProgramId=4,107.31,POST
Membership Management → Program → Currencies,1289.33,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCurrency/List/4,433.03,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCurrency/List_Read?ProgramId=4&ProgramName=ACME%20Corporation%20Program,332.74,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramCurrency/List_Read?ProgramId=4&ProgramName=ACME%20Corporation%20Program,139.42,POST
Membership Management → Program → Account Application Flows,868.46,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/List/4,372.35,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/List_Read?programId=4,126.04,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/List_Read?programId=4,108.82,POST
Membership Management → Program → Account Application Flow,929.56,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/Edit/4?accountApplicationFlowId=1,362.52,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/AccountApplicationFlowStep_Read?accountApplicationFlowId=1,227.77,POST
Membership Management → Program → New Account Application Flow,750.30,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramAccountApplicationFlow/Create/4,447.91,GET
Membership Management → Program → Enrollment Documents,863.98,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramEnrollmentDocuments/List/4,344.08,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramEnrollmentDocuments/EnrollmentDocuments_Read?ProgramId=4,129.79,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramEnrollmentDocuments/EnrollmentDocuments_Read?ProgramId=4,108.13,POST
Membership Management → Program → Payment Provider Settings,1068.25,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/List/4,454.2,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/List_Read?ProgramId=4,292.95,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/List_Read?ProgramId=4,139.76,POST
Membership Management → Program → Payment Provider Setting,889.06,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/Edit/4?paymentProviderSettingId=8,424.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetPaymentOptionCards?paymentProviderType=Payon&text=,143.67,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetPaymentOptions?programId=4&paymentProviderType=Payon&text=,142.37,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetTestModelList?paymentProviderType=Payon&text=,107.37,GET
Membership Management → Program → New Payment Provider Setting,886.52,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/Create/4?paymentProviderType=20,438.47,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetPaymentOptionCards?paymentProviderType=Payon&text=,146.62,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetPaymentOptions?programId=4&paymentProviderType=Payon&text=,171.27,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramPaymentProviderSetting/GetTestModelList?paymentProviderType=Payon&text=,104.47,GET
Membership Management → Program → Integration Settings,940.80,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramIntegrationSettings/4,389.96,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/IdProvider/GetProvidersList?text=,118.96,GET
Membership Management → Program → Email Notifications,1330.12,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ProgramEmailNotifications/List/4,502.16,GET
