Url,Elapsed time (ms),Method
Downloading a report with 10k rows,,
Account Management → Billing Events (10037),984.69,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List,362.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,159.14,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,131.56,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,114.2,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/ExportToExcel,2446.14,POST
Account Management → Charged Fees (392 !!!),984.89,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List,324.14,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=1,161.05,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,144.7,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Fee/GetFees,149.05,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RecurringFee/GetNameList,142.03,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,142.53,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,114.19,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/ExportToExcel,298.86,POST
Account Management → Charged Initiator Fees (10 !!!),917.16,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List,317.7,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,160.32,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,133.76,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,120.15,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/ExportToExcel,199.89,POST
Transaction Management → Transactions (10012),1432.39,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List,439.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,146.44,GET
