Url,Elapsed time (ms),Method
Opening period dependent data grids with 10k rows,,
Account Management → Compliance Check (5 !!!),1134.45,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List,354.2,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,147.57,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetTrafficLightList?text=,113.09,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetHitTypeList?text=,125.67,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,138.19,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,115.7,POST
Account Management → Billing Events (10037),968.71,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List,361.68,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,130.89,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,135.02,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,113.36,POST
Account Management → Charged Fees (392 !!!),1097.61,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List,367.63,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=1,188.08,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,186.06,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Fee/GetFees,172.35,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RecurringFee/GetNameList,162.53,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,244.68,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,112.87,POST
Account Management → Charged Initiator Fees (10 !!!),879.42,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List,323.35,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,198.56,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,131.13,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,117.13,POST
Account Management → Account Adjustments (856 !!!),969.39,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List,328.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,178.25,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,119.85,POST
Transaction Management → Transactions (10012),1465.31,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List,461.33,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,173.03,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=32,147.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,128.32,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,354.78,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,126.2,POST
Transaction Management → External Transactions (10054),1146.01,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List,316.78,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=8,151.92,GET
