Url,Elapsed time (ms),Method
Opening period dependent data grids with 10k rows,,
Account Management → Compliance Check (5 !!!),1766.74,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List,385.72,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,123.94,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetTrafficLightList?text=,108.33,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetHitTypeList?text=,108.81,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,134.79,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,115.9,POST
Account Management → Billing Events (10037),1562.77,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List,349.75,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,135.1,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,133.68,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,116.26,POST
Account Management → Charged Fees (392 !!!),1564.23,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List,323.51,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=1,138.4,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,126.78,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Fee/GetFees,128.51,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RecurringFee/GetNameList,134.48,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,132.23,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,121.58,POST
Account Management → Charged Initiator Fees (10 !!!),1516.34,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List,334.23,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,156.72,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,134.25,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,118.05,POST
Account Management → Account Adjustments (856 !!!),1550.94,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List,335.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,174.91,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,123.51,POST
Transaction Management → Transactions (10012),2078.77,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List,450.75,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,147.07,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=32,137.83,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,127.67,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,362.79,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,134.19,POST
Transaction Management → External Transactions (10054),1627.95,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List,326.84,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=8,140.5,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,133.96,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,146.55,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,122.31,POST
Transaction Management → Internal Transactions (10054),1945.69,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List,338.75,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=16,133.78,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RiskType/GetRiskTypeList?text=,124.15,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List_Read,139.34,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List_Read,115.37,POST
Transaction Management → Scheduled Transactions (10008),1701.56,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List,349.89,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,153.16,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List_Read,167.96,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List_Read,141.14,POST
Transaction Management → Unsettled Transactions (13932),17960.26,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List,557.55,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,439.55,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Catalog/GetEntryIndicators?text=,518.7,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,1064.55,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List_Read,16250.08,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List_Read,439.28,POST
Risk Management → Order Risk Check (empty !!!),1532.20,
