Url,Elapsed time (ms),Method
Opening period dependent data grids (filters are empty),,
Account Management → Compliance Check,1861.74,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List,408.35,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,145.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetTrafficLightList?text=,118.01,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetHitTypeList?text=,115.82,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,203.25,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/List_Read,122.47,POST
Account Management → Billing Events,1929.40,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List,334.67,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,136.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,137.51,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BillingEvent/List_Read,295.9,POST
Account Management → Charged Fees,1674.62,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List,346.08,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=1,139.97,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,132.43,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Fee/GetFees,128.83,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RecurringFee/GetNameList,132.58,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,140.05,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/FeeCharge/List_Read,126.27,POST
Account Management → Charged Initiator Fees,1584.73,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List,394.13,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,158.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,129.83,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/InitiatorFeeCharge/List_Read,114.45,POST
Account Management → Account Adjustments,1670.56,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List,349.83,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,186.98,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountAdjustment/List_Read,118.6,POST
Transaction Management → Transactions,2836.92,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List,670.31,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,155.92,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=32,133.71,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,124.96,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,401.88,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Transaction/List_Read,817.09,POST
Transaction Management → External Transactions,2192.18,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List,340.41,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=8,131.6,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,125.05,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,144.19,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionAcquiring/List_Read,579.71,POST
Transaction Management → Internal Transactions,2292.50,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List,332.89,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=16,140.86,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/RiskType/GetRiskTypeList?text=,133.2,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List_Read,146,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionIssuing/List_Read,689.61,POST
Transaction Management → Scheduled Transactions,1819.32,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List,339.17,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,153.86,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List_Read,176.88,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ScheduledTransaction/List_Read,147.01,POST
Transaction Management → Unsettled Transactions,17210.21,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List,340.39,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/PaymentOption/GetPaymentOptionNames,160.43,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Catalog/GetEntryIndicators?text=,116.87,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,167.61,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List_Read,15577.13,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/UnsettledTransaction/List_Read,1073.08,POST
Risk Management → Order Risk Check,1686.88,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/OrderRiskCheck/List,363.85,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,143.65,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/ComplianceCheck/GetTrafficLightList?text=,112.64,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/OrderRiskCheck/GetDenialReasonsList?text=,113.19,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/OrderRiskCheck/List_Read,149.88,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/OrderRiskCheck/List_Read,129.52,POST
Risk Management → Blocked Transactions,1651.12,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BlockedTransactionIssuing/List,353.96,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,129.72,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes?applicableTarget=64,122.75,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BlockedTransactionIssuing/List_Read,134.36,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/BlockedTransactionIssuing/List_Read,114.98,POST
Reports → Account Application Status,8324.09,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountApplicationStatus,331.38,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountApplication/GetStatusList?text=,141.28,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,149.86,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountApplicationStatus_Read,6775.22,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountApplicationStatus_Read,328.06,POST
Reports → Account Balance,55710.27,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountBalance,379,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,279.6,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,194.43,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Account/GetStatusList?text=,174.98,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Currency/GetCurrencyList?text=,350.34,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountBalance_Read,54108.55,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/AccountBalance_Read,6867.6,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetPrograms?text=&MemberId=&WalletProductId=,327.91,GET
Reports → External Authorization,2995.65,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Report/ExternalAuthorization,343.54,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,140.35,GET
