Url,Elapsed time (ms),Method
Opening period independent data grids,,
Home → System Health Monitor,2712.16,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/SystemHealthMonitor,438.89,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/EndOfDayJobActivityLog/List_Read,131.17,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/TransactionType/GetTransactionTypes,158.83,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ApiActivityWidgetData,128.54,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/WeeklyApiCallsDistributionWidgetData,1035.07,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/SequentialQueueMonitorList_Read,122.21,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/SequentialQueueMonitorList_Read,123.81,POST
Home → Expiration Monitor,2676.91,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ExpirationMonitor,327.96,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,180.25,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Home/ExpirationMonitorList_Read,743.04,POST
Membership Management → Programs,1625.59,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List,321.4,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Member/GetMemberList?exceptUnusedMembers=False&text=,125.49,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Product/GetProducts?hideFiProduct=False&text=,124.58,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List_Read,487.2,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/List_Read,207.16,POST
Membership Management → Programs → New Program,1284.64,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/Create,369.56,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetMemberList?text=,135.87,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/GetProductList?text=,132.86,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Country/GetList?onlyActive=True,119.9,POST
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Catalog/CultureListDataSourceResult,108.11,POST
Membership Management → Program Data,2006.22,
https://testing1.kontocloud.com:8443/kontocloud/backoffice/Program/Edit/4,485.79,GET
https://testing1.kontocloud.com:8443/kontocloud/backoffice/AccountType/GetNonProductAccountTypes?programId=4&forAccount=True&accountCategory=Program&onlyEwalletAccountCategory=False&text=,131.65,GET
